lname,fname,team,pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Gonzalez,Adrian,LAD,1B,156,571,76,157,33,0,28,90,0,1,62,107,0,3,6,.275,.350,.480,.830
Goldschmidt,Paul,ARI,1B,159,567,103,182,38,2,33,110,21,5,118,151,0,7,2,.321,.435,.570,1.005
McCutchen,Andrew,PIT,OF,157,566,91,165,36,3,23,96,11,5,98,133,0,9,12,.292,.401,.488,.889
LeMahieu,DJ,COL,2B,150,564,85,170,21,5,6,61,23,3,50,107,3,2,1,.301,.358,.388,.746
Segura,Jean,MIL,SS,142,560,57,144,16,5,6,50,25,6,13,93,3,2,6,.257,.281,.336,.617
Bryant,Kris,CHC,3B,151,559,87,154,31,5,26,99,13,4,77,199,0,5,9,.275,.369,.488,.857
Galvis,Freddy,PHI,SS,151,559,63,147,14,5,7,50,10,1,30,103,7,4,3,.263,.302,.343,.645
Wong,Kolten,STL,2B,150,557,71,146,28,4,11,61,15,8,36,95,0,5,15,.262,.321,.386,.707
Posey,Buster,SF,C,150,557,74,177,28,0,19,95,2,0,56,52,0,7,3,.318,.379,.470,.849
Gonzalez,Carlos,COL,OF,153,554,87,150,25,2,40,97,2,0,46,133,1,6,1,.271,.325,.540,.865
Castro,Starlin,CHC,SS,151,547,52,145,23,2,11,69,5,5,21,91,1,4,5,.265,.296,.375,.671
Heyward,Jason,STL,OF,154,547,79,160,33,4,13,60,23,3,56,90,0,3,2,.293,.359,.439,.798
Votto,Joey,CIN,1B,158,545,95,171,33,2,29,80,11,3,143,135,0,2,5,.314,.459,.541,1.000
Walker,Neil,PIT,2B,151,543,69,146,32,3,16,71,4,1,44,110,0,8,8,.269,.328,.427,.755
Upton,Justin,SD,OF,150,542,85,136,26,3,26,81,19,5,68,159,0,5,4,.251,.336,.454,.790
Escobar,Yunel,WAS,SS,139,535,75,168,25,1,9,56,2,2,45,70,1,2,8,.314,.375,.415,.790
Simmons,Andrelton,ATL,SS,147,535,60,142,23,2,4,44,5,3,39,48,1,2,6,.265,.321,.338,.659
Peterson,Jace,ATL,2B,152,528,55,126,23,5,6,52,12,10,56,120,7,3,3,.239,.314,.335,.649
Solarte,Yangervis,SD,3B,152,526,63,142,33,4,14,63,1,0,34,56,2,3,6,.270,.320,.428,.748
Inciarte,Ender,ARI,OF,132,524,73,159,27,5,6,45,21,10,26,58,2,5,4,.303,.338,.408,.746
Harper,Bryce,WAS,OF,153,521,118,172,38,1,42,99,6,4,124,131,0,4,5,.330,.460,.649,1.109
Rollins,Jimmy,LAD,SS,144,517,71,116,24,3,13,41,12,8,44,86,1,1,0,.224,.285,.358,.643
Norris,Derek,SD,C,147,515,65,129,33,2,14,62,4,1,35,131,0,1,6,.250,.305,.404,.709
Owings,Chris,ARI,SS,147,515,59,117,27,5,4,43,16,4,26,144,7,3,1,.227,.264,.322,.586
Pagan,Angel,SF,OF,133,512,55,134,21,3,3,37,12,4,32,93,0,6,1,.262,.303,.332,.635
Crawford,Brandon,SF,SS,143,507,65,130,33,4,21,84,6,4,39,119,0,4,11,.256,.321,.462,.783
Braun,Ryan,MIL,OF,140,506,87,144,27,3,25,84,24,4,54,115,0,3,4,.285,.356,.498,.854
Maybin,Cameron,ATL,OF,141,505,65,135,18,2,10,59,23,6,45,102,1,3,1,.267,.327,.370,.697
Lind,Adam,MIL,1B,149,502,72,139,32,0,20,87,0,0,66,100,0,3,1,.277,.360,.460,.820
Prado,Martin,MIA,3B,129,500,52,144,22,2,9,63,1,0,37,68,1,8,5,.288,.338,.394,.732
Murphy,Daniel,NYM,2B,130,499,56,140,38,2,14,73,2,2,31,38,0,6,2,.281,.322,.449,.771
Herrera,Odubel,PHI,2B,147,495,64,147,30,3,8,41,16,8,28,129,5,1,8,.297,.344,.418,.762
Belt,Brandon,SF,1B,137,492,73,138,33,5,18,68,9,3,56,147,0,4,4,.280,.356,.478,.834
Molina,Yadier,STL,C,136,488,34,132,23,2,4,61,3,1,32,59,1,9,0,.270,.310,.350,.660
Flores,Wilmer,NYM,SS,137,483,55,127,22,0,16,59,0,1,19,63,2,2,4,.263,.295,.408,.703
Pederson,Joc,LAD,OF,151,480,67,101,19,1,26,54,4,7,92,170,2,2,9,.210,.346,.417,.763
Yelich,Christian,MIA,OF,126,476,63,143,30,2,7,44,16,5,47,101,0,0,2,.300,.366,.416,.782
Russell,Addison,CHC,SS,142,475,60,115,29,1,13,54,4,3,42,149,1,2,3,.242,.307,.389,.696
Ramos,Wilson,WAS,C,128,475,41,109,16,0,15,68,0,0,21,101,0,8,0,.229,.258,.358,.616
Taylor,Michael,WAS,OF,138,472,49,108,15,2,14,63,16,3,35,158,1,2,1,.229,.282,.358,.640
Duda,Lucas,NYM,1B,135,471,67,115,33,0,27,73,0,2,66,138,0,3,14,.244,.352,.486,.838
Hechavarria,Adeiny,MIA,SS,130,470,54,132,17,6,5,48,7,2,23,78,0,4,2,.281,.315,.374,.689
Howard,Ryan,PHI,1B,129,467,53,107,29,1,23,77,0,0,27,138,0,3,5,.229,.277,.443,.720
Kendrick,Howie,LAD,2B,117,464,64,137,22,2,9,54,6,2,27,82,1,1,2,.295,.336,.409,.745
Peralta,David,ARI,OF,149,462,61,144,26,10,17,78,9,4,44,107,0,7,4,.312,.371,.522,.893
Ozuna,Marcell,MIA,OF,123,459,47,119,27,0,10,44,2,3,30,110,0,2,3,.259,.308,.383,.691
Cervelli,Francisco,PIT,C,130,451,56,133,17,5,7,43,1,1,46,94,4,1,8,.295,.370,.401,.771
Realmuto,J.T.,MIA,C,126,441,49,114,21,7,10,47,8,4,19,70,1,4,2,.259,.290,.406,.696
Lagares,Juan,NYM,OF,143,441,47,114,16,5,6,41,7,3,16,87,1,3,4,.259,.289,.358,.647
Coghlan,Chris,CHC,OF,148,440,64,110,25,6,16,41,11,2,58,94,1,1,3,.250,.341,.443,.784
Alvarez,Pedro,PIT,3B,150,437,60,106,18,0,27,77,2,0,48,131,0,4,2,.243,.318,.469,.787
Asche,Cody,PHI,3B,129,425,41,104,22,3,12,39,1,2,26,111,0,1,4,.245,.294,.395,.689
Gyorko,Jedd,SD,2B,128,421,34,104,15,0,16,57,0,1,27,107,0,5,5,.247,.297,.397,.694
Kang,Jung-Ho,PIT,SS,126,421,60,121,24,2,15,58,5,4,28,99,0,1,17,.287,.355,.461,.816
Ahmed,Nick,ARI,SS,134,421,49,95,17,6,9,34,4,5,29,81,5,3,1,.226,.275,.359,.634
Harrison,Josh,PIT,3B,114,418,57,120,29,1,4,28,10,8,19,71,3,2,7,.287,.327,.390,.717
Freeman,Freddie,ATL,1B,118,416,62,115,27,0,18,66,3,1,56,98,0,2,7,.276,.370,.471,.841
Hamilton,Billy,CIN,OF,114,412,56,93,8,3,4,28,57,8,28,75,9,4,1,.226,.274,.289,.563
Bour,Justin,MIA,1B,129,409,42,107,20,0,23,73,0,0,34,101,0,1,2,.262,.321,.479,.800
Pierzynski,A.J.,ATL,C,113,407,38,122,24,1,9,49,0,2,19,37,0,3,7,.300,.339,.430,.769
Tomas,Yasmany,ARI,OF,118,406,40,111,19,3,9,48,5,2,17,110,0,1,2,.273,.305,.401,.706
Hernandez,Cesar,PHI,2B,127,405,57,110,20,4,1,35,19,5,40,86,4,1,2,.272,.339,.348,.687
Suzuki,Ichiro,MIA,OF,153,398,45,91,5,6,1,21,11,5,31,51,5,4,0,.229,.282,.279,.561
Ethier,Andre,LAD,OF,142,395,54,116,20,7,14,53,2,3,43,75,0,3,4,.294,.366,.486,.852
Mercer,Jordy,PIT,SS,116,394,34,96,21,0,3,34,3,2,27,73,4,3,2,.244,.293,.320,.613
Davis,Khris,MIL,OF,121,392,54,97,16,2,27,66,6,2,44,122,0,3,1,.247,.323,.505,.828
Turner,Justin,LAD,3B,126,385,55,113,26,1,16,60,5,2,36,71,1,4,13,.294,.370,.491,.861
Panik,Joe,SF,2B,100,382,59,119,27,2,8,37,3,2,38,42,3,4,5,.312,.378,.455,.833
Reynolds,Mark,STL,1B,140,382,35,88,21,2,13,48,2,3,44,121,0,2,4,.230,.315,.398,.713
Cuddyer,Michael,NYM,OF,117,379,44,98,18,1,10,41,2,0,24,88,0,1,4,.259,.309,.391,.700
Gennett,Scooter,MIL,2B,114,375,42,99,18,4,6,29,1,3,12,68,0,0,4,.264,.294,.381,.675
Suarez,Eugenio,CIN,SS,97,372,42,104,19,2,13,48,4,1,17,94,4,2,3,.280,.315,.446,.761
Lucroy,Jonathan,MIL,C,103,371,51,98,20,3,7,43,1,0,36,64,1,6,1,.264,.326,.391,.717
Espinosa,Danny,WAS,2B,118,367,59,88,21,1,13,37,5,2,33,106,3,3,6,.240,.311,.409,.720
Revere,Ben,PHI,OF,96,366,49,109,13,6,1,26,24,5,19,36,2,0,1,.298,.334,.374,.708
Hundley,Nick,COL,C,103,366,45,110,21,5,10,43,5,6,21,76,0,1,1,.301,.339,.467,.806
Soler,Jorge,CHC,OF,101,366,39,96,18,1,10,47,3,1,32,121,0,3,3,.262,.324,.399,.723
Tejada,Ruben,NYM,SS,116,360,36,94,23,0,3,28,2,1,38,70,2,2,5,.261,.338,.350,.688
Byrd,Marlon,CIN,OF,96,359,46,85,13,3,19,42,2,1,23,101,0,3,3,.237,.286,.448,.734
Grandal,Yasmani,LAD,C,115,355,43,83,12,0,16,47,0,1,65,92,1,3,2,.234,.353,.403,.756
Aoki,Norichika,SF,OF,93,355,42,102,12,3,5,26,14,5,30,25,1,0,6,.287,.353,.380,.733
Alonso,Yonder,SD,1B,103,354,50,100,18,1,5,31,2,5,42,48,0,3,3,.282,.361,.381,.742
Lamb,Jake,ARI,3B,107,350,38,92,15,5,6,34,3,2,36,97,0,3,1,.263,.331,.386,.717
Montero,Miguel,CHC,C,113,347,36,86,11,0,15,53,1,1,49,103,0,3,4,.248,.345,.409,.754
Zimmerman,Ryan,WAS,3B,95,346,43,86,25,1,16,73,1,0,33,79,0,10,1,.249,.308,.465,.773
Pena,Brayan,CIN,C,108,333,17,91,17,0,0,18,2,0,29,34,2,1,2,.273,.334,.324,.658
Werth,Jayson,WAS,OF,88,331,51,73,16,1,12,42,0,1,38,84,0,6,3,.221,.302,.384,.686
Blanco,Gregor,SF,OF,115,327,59,95,19,3,5,26,13,5,40,59,0,3,2,.291,.368,.413,.781
Francoeur,Jeff,PHI,OF,119,326,34,84,16,1,13,45,0,2,13,77,0,3,1,.258,.286,.433,.719
Paulsen,Ben,COL,1B,116,325,42,90,19,4,11,49,1,2,23,92,1,3,2,.277,.326,.462,.788
Amarista,Alexi,SD,2B,118,324,28,66,10,4,3,30,5,1,24,55,3,5,1,.204,.257,.287,.544
Parra,Gerardo,MIL,OF,100,323,53,106,24,5,9,31,9,3,20,57,1,4,3,.328,.369,.517,.886
Grichuk,Randal,STL,OF,103,323,49,89,23,7,17,47,4,2,22,110,0,1,4,.276,.329,.548,.877
Tulowitzki,Troy,COL,SS,87,323,46,97,19,0,12,53,0,0,24,72,0,3,1,.300,.348,.471,.819
Hill,Aaron,ARI,2B,116,313,32,72,18,0,6,39,7,2,31,54,0,8,1,.230,.295,.345,.640
Rendon,Anthony,WAS,2B,80,311,43,82,16,0,5,25,1,2,36,70,0,4,4,.264,.344,.363,.707
Robinson,Clint,WAS,1B,126,309,44,84,15,1,10,34,0,0,37,52,0,1,5,.272,.358,.424,.782
Franco,Maikel,PHI,3B,80,304,45,85,22,1,14,50,1,0,26,52,0,1,4,.280,.343,.497,.840
Spangenberg,Cory,SD,2B,108,303,38,82,17,5,4,21,9,4,28,75,8,3,2,.271,.333,.399,.732
Gomez,Carlos,MIL,OF,74,286,42,75,20,1,8,43,7,6,23,70,0,0,5,.262,.328,.423,.751
Ruiz,Carlos,PHI,C,86,284,23,60,13,1,2,22,1,1,28,43,3,1,4,.211,.290,.285,.575
Venable,Will,SD,OF,98,283,34,73,10,3,6,30,11,1,25,73,0,0,0,.258,.318,.378,.696
Puig,Yasiel,LAD,OF,79,282,30,72,12,3,11,38,3,3,26,66,0,1,2,.255,.322,.436,.758
Ramirez,Aramis,MIL,3B,81,279,25,69,18,0,11,42,1,0,16,42,0,3,4,.247,.295,.430,.725
Stanton,Giancarlo,MIA,OF,74,279,47,74,12,1,27,67,4,2,34,95,0,3,2,.265,.346,.606,.952
Castillo,Welington,ARI,C,80,274,34,70,13,1,17,50,0,0,21,75,0,3,5,.255,.317,.496,.813
Rupp,Cameron,PHI,C,81,270,24,63,9,1,9,28,0,1,24,71,0,2,3,.233,.301,.374,.675
Ruf,Darin,PHI,1B,106,268,30,63,12,0,12,39,1,0,21,69,0,3,5,.235,.300,.414,.714
Herrera,Elian,MIL,3B,83,256,29,62,18,0,7,33,3,1,18,72,1,2,0,.242,.290,.395,.685
Barnes,Brandon,COL,OF,106,255,30,64,13,2,2,17,4,2,21,67,1,1,3,.251,.314,.341,.655
Middlebrooks,Will,SD,3B,83,255,23,54,7,2,9,29,2,1,11,60,0,4,0,.212,.241,.361,.602
Dietrich,Derek,MIA,2B,90,250,38,64,14,3,10,24,0,2,23,65,0,3,13,.256,.346,.456,.802
Utley,Chase,PHI,2B,73,249,23,54,12,1,5,30,3,0,22,35,0,7,4,.217,.284,.333,.617
Span,Denard,WAS,OF,61,246,38,74,17,0,5,22,11,0,25,26,1,2,1,.301,.365,.431,.796
Schumaker,Skip,CIN,OF,131,244,23,59,20,0,1,21,2,2,23,51,0,1,0,.242,.306,.336,.642
Barnhart,Tucker,CIN,C,81,242,23,61,9,0,3,18,0,1,25,45,2,3,2,.252,.324,.326,.650
d'Arnaud,Travis,NYM,C,67,239,31,64,14,1,12,41,0,0,23,49,0,2,4,.268,.340,.485,.825
Piscotty,Stephen,STL,OF,63,233,29,71,15,4,7,39,2,1,20,56,0,2,1,.305,.359,.494,.853
Blanco,Andres,PHI,SS,106,233,32,68,22,3,7,25,1,1,21,44,3,0,4,.292,.360,.502,.862
Plawecki,Kevin,NYM,C,73,233,18,51,9,0,3,21,0,0,17,60,1,3,4,.219,.280,.296,.576
Schwarber,Kyle,CHC,C,69,232,52,57,6,1,16,43,3,3,36,77,0,1,4,.246,.355,.487,.842
Rosario,Wilin,COL,C,87,231,22,62,14,1,6,29,2,1,8,56,1,1,1,.268,.295,.416,.711
Cespedes,Yoenis,NYM,OF,57,230,39,66,14,4,17,44,4,1,14,54,0,1,4,.287,.337,.604,.941
Perez,Hernan,MIL,SS,90,230,13,62,15,2,1,21,4,1,4,48,3,1,0,.270,.281,.365,.646
Maldonado,Martin,MIL,C,79,229,19,48,7,0,4,22,0,1,23,65,1,2,1,.210,.282,.293,.575
Holliday,Matt,STL,OF,73,229,24,64,16,1,4,35,2,1,39,49,0,3,6,.279,.394,.410,.804
Myers,Wil,SD,OF,60,225,40,57,13,1,8,29,5,2,27,55,0,0,1,.253,.336,.427,.763
Rodriguez,Sean,PIT,2B,139,224,25,55,12,1,4,17,2,2,5,63,5,0,6,.246,.281,.362,.643
Dickerson,Corey,COL,OF,65,224,30,68,18,2,10,31,0,1,10,56,0,0,0,.304,.333,.536,.869
Van Slyke,Scott,LAD,OF,96,222,19,53,14,0,6,30,3,1,23,62,1,3,4,.239,.317,.383,.700
Guerrero,Alex,LAD,OF,106,219,25,51,9,1,11,36,1,0,7,57,0,2,2,.233,.261,.434,.695
Denorfia,Chris,CHC,OF,103,212,18,57,11,1,3,18,0,1,15,56,2,1,1,.269,.319,.373,.692
Jay,Jon,STL,OF,79,210,25,44,5,1,1,10,0,2,19,36,3,2,11,.210,.306,.257,.563
Barmes,Clint,SD,SS,98,207,24,48,14,1,3,16,0,1,10,55,3,0,4,.232,.281,.353,.634
Pence,Hunter,SF,OF,52,207,30,57,13,1,9,40,4,1,16,48,0,0,0,.275,.327,.478,.805
Upton Jr.,Melvin,SD,OF,87,205,23,53,12,4,5,17,9,3,21,62,2,0,0,.259,.327,.429,.756
Hernandez,Enrique,LAD,SS,76,202,24,62,12,2,7,22,0,2,11,46,1,2,2,.307,.346,.490,.836
Peterson,Shane,MIL,OF,93,201,22,52,7,3,2,16,0,1,20,55,3,1,0,.259,.324,.353,.677
De Jesus,Ivan,CIN,2B,76,201,15,49,10,2,4,28,0,2,19,55,0,1,1,.244,.311,.373,.684
Bourgeois,Jason,CIN,OF,68,196,28,47,5,2,3,14,3,1,14,33,1,0,1,.240,.294,.332,.626
Ramirez,Aramis,PIT,3B,56,196,18,48,13,1,6,33,0,0,15,26,0,2,1,.245,.299,.413,.712
Gomes,Jonny,ATL,OF,83,195,27,43,7,0,7,22,1,1,28,67,0,2,3,.221,.325,.364,.689
Bourjos,Peter,STL,OF,117,195,32,39,8,3,4,13,5,8,19,59,4,1,6,.200,.290,.333,.623
Cozart,Zack,CIN,SS,53,194,28,50,10,1,9,28,3,3,14,29,1,3,2,.258,.310,.459,.769
Reyes,Jose,COL,SS,47,193,21,50,8,2,3,19,8,4,9,24,5,1,0,.259,.291,.368,.659
Garcia,Adonis,ATL,OF,58,191,20,53,12,0,10,26,0,0,5,35,0,2,0,.277,.293,.497,.790
Brown,Domonic,PHI,OF,63,189,19,43,6,1,5,25,3,1,14,36,0,0,1,.228,.284,.349,.633
Moore,Tyler,WAS,OF,97,187,14,38,12,0,6,27,0,0,11,45,0,1,1,.203,.250,.364,.614
Descalso,Daniel,COL,2B,101,185,22,38,3,2,5,22,1,2,20,45,4,0,0,.205,.283,.324,.607
Johnson,Kelly,ATL,3B,62,182,20,50,5,0,9,34,1,1,13,43,0,1,0,.275,.321,.451,.772
Ellis,A.J.,LAD,C,63,181,24,43,9,0,7,21,0,0,32,38,3,0,1,.238,.355,.403,.758
Crawford,Carl,LAD,OF,69,181,19,48,9,2,4,16,10,2,10,41,0,0,0,.265,.304,.403,.707
Tomlinson,Kelby,SF,2B,54,178,23,54,6,3,2,20,5,4,14,40,0,0,1,.303,.358,.404,.762
Adams,Matt,STL,1B,60,175,14,42,9,0,5,24,1,0,10,41,0,1,0,.240,.280,.377,.657
Trumbo,Mark,ARI,OF,46,174,23,45,10,3,9,23,0,0,10,39,0,0,0,.259,.299,.506,.805
Conforto,Michael,NYM,OF,56,174,30,47,14,0,9,26,0,1,17,39,0,2,1,.270,.335,.506,.841
Campbell,Eric,NYM,OF,71,173,28,34,8,0,3,19,5,3,26,37,1,2,4,.197,.312,.295,.607
Saltalamacchia,Jarrod,ARI,C,70,171,23,43,14,0,8,23,0,0,19,57,1,1,2,.251,.332,.474,.806
Morneau,Justin,COL,1B,49,168,19,52,10,3,3,15,0,0,13,25,0,0,1,.310,.363,.458,.821
Morse,Mike,MIA,OF,53,160,8,34,4,0,4,12,0,0,12,55,0,0,2,.213,.276,.313,.589
Stewart,Chris,PIT,C,58,159,9,46,8,0,0,15,0,0,6,29,3,2,2,.289,.320,.340,.660
Ross,David,CHC,C,72,159,6,28,9,0,1,9,1,0,20,61,2,1,0,.176,.267,.252,.519
Bethancourt,Christian,ATL,C,48,155,16,31,8,0,2,12,1,1,5,33,0,0,0,.200,.225,.290,.515
Johnson,Chris,ATL,3B,56,153,12,36,7,0,2,11,2,1,7,49,0,1,1,.235,.272,.320,.592
Pham,Tommy,STL,OF,52,153,28,41,7,5,5,18,2,0,19,41,0,1,0,.268,.347,.477,.824
Wright,David,NYM,3B,38,152,24,44,7,0,5,17,2,1,22,36,0,0,0,.289,.379,.434,.813
Rogers,Jason,MIL,3B,86,152,22,45,6,2,4,16,0,0,15,34,0,0,2,.296,.367,.441,.808
Uribe,Juan,ATL,3B,46,151,17,43,6,0,7,17,1,0,15,37,0,0,1,.285,.353,.464,.817
Byrd,Marlon,SF,OF,39,147,12,40,12,2,4,31,0,0,6,44,0,2,1,.272,.301,.463,.764
Gillespie,Cole,MIA,OF,67,145,17,42,10,2,2,16,4,1,10,27,1,1,0,.290,.333,.428,.761
Rojas,Miguel,MIA,SS,60,142,13,40,7,1,1,17,0,1,11,16,2,2,0,.282,.329,.366,.695
Cruz,Tony,STL,C,69,142,6,29,7,1,2,11,0,0,6,32,2,1,0,.204,.235,.310,.545
Ciriaco,Pedro,ATL,3B,84,142,14,37,8,1,1,15,4,2,2,38,2,3,2,.261,.275,.352,.627
Hedges,Austin,SD,C,56,137,13,23,2,0,3,11,0,0,8,38,3,3,1,.168,.215,.248,.463
Altherr,Aaron,PHI,OF,39,137,25,33,11,4,5,22,6,2,16,41,1,2,5,.241,.338,.489,.827
Lobaton,Jose,WAS,C,44,136,11,27,4,0,3,20,0,0,15,40,1,2,1,.199,.279,.294,.573
Bourn,Michael,ATL,OF,46,136,10,30,3,1,0,11,4,2,17,31,1,2,0,.221,.303,.257,.560
Pennington,Cliff,ARI,SS,72,135,15,32,3,0,1,10,3,0,16,29,4,2,0,.237,.314,.281,.595
Susac,Andrew,SF,C,52,133,14,29,7,2,3,14,0,0,14,43,0,0,1,.218,.297,.368,.665
Moss,Brandon,STL,1B,51,132,11,33,7,1,4,8,0,1,17,42,0,0,2,.250,.344,.409,.753
Uribe,Juan,NYM,3B,44,128,17,28,9,0,6,20,0,0,14,34,0,0,1,.219,.301,.430,.731
Johnson,Kelly,NYM,3B,49,128,18,32,6,0,5,13,1,0,10,38,0,0,0,.250,.304,.414,.718
Gosewisch,Tuffy,ARI,C,38,128,9,27,6,0,1,13,2,1,8,23,0,1,1,.211,.261,.281,.542
McGehee,Casey,SF,3B,49,127,7,27,5,0,2,11,0,1,11,28,0,0,0,.213,.275,.299,.574
Ynoa,Rafael,COL,2B,72,127,14,33,8,1,0,9,1,0,3,28,1,0,0,.260,.277,.339,.616
Herrera,Jonathan,CHC,SS,73,126,14,29,5,1,2,14,3,0,2,23,4,0,0,.230,.242,.333,.575
Utley,Chase,LAD,2B,34,124,14,25,9,1,3,9,1,0,10,29,0,1,6,.202,.291,.363,.654
Schafer,Logan,MIL,OF,69,122,17,27,6,1,1,6,1,0,12,29,6,1,2,.221,.299,.311,.610
Santana,Domingo,MIL,OF,38,121,14,28,5,0,6,18,2,0,18,46,0,2,4,.231,.345,.421,.766
Uggla,Dan,WAS,2B,67,120,12,22,4,2,2,16,0,1,19,40,0,1,1,.183,.298,.300,.598
Perez,Eury,ATL,OF,47,119,10,32,4,0,0,5,3,1,7,23,3,0,4,.269,.331,.303,.634
Swisher,Nick,ATL,1B,46,118,8,23,5,0,4,17,0,0,27,30,0,2,2,.195,.349,.339,.688
Adrianza,Ehire,SF,2B,52,113,11,21,7,1,0,11,3,2,15,20,2,0,4,.186,.303,.265,.568
McGehee,Casey,MIA,3B,60,110,7,20,7,0,0,9,1,0,10,22,0,0,0,.182,.250,.245,.495
Parker,Kyle,COL,OF,46,106,10,19,3,1,3,11,1,0,6,37,0,0,0,.179,.223,.311,.534
Nieuwenhuis,Kirk,NYM,OF,64,106,17,22,9,0,4,13,2,1,8,40,0,0,3,.208,.282,.406,.688
Stubbs,Drew,COL,OF,51,102,14,22,3,2,5,10,2,1,9,50,2,0,1,.216,.286,.431,.717
den Dekker,Matt,WAS,OF,55,99,12,25,6,1,5,12,0,1,9,20,2,0,0,.253,.315,.485,.800
Kozma,Pete,STL,SS,76,99,15,15,0,0,0,2,3,1,10,21,1,0,1,.152,.236,.152,.388
Seager,Corey,LAD,SS,27,98,17,33,8,1,4,17,2,0,14,19,0,0,1,.337,.425,.561,.986
Sizemore,Grady,PHI,OF,39,98,4,24,5,0,0,6,0,0,6,23,0,0,0,.245,.288,.296,.584
Sardinas,Luis,MIL,SS,36,97,8,19,0,1,0,4,0,0,6,25,1,1,0,.196,.240,.216,.456
Castro,Daniel,ATL,SS,33,96,14,23,2,1,2,5,0,0,3,15,1,0,0,.240,.263,.344,.607
Wallace,Brett,SD,1B,64,96,14,29,6,0,5,16,0,0,10,31,0,0,1,.302,.374,.521,.895
Negron,Kris,CIN,3B,43,93,5,13,2,0,0,2,2,0,9,23,2,0,3,.140,.238,.161,.399
Mathis,Jeff,MIA,C,32,93,9,15,4,1,2,12,0,0,7,24,0,3,0,.161,.214,.290,.504
Solano,Donovan,MIA,2B,55,90,6,17,3,1,0,7,0,0,1,18,1,0,2,.189,.215,.244,.459
Jankowski,Travis,SD,OF,34,90,9,19,2,2,2,12,2,1,4,24,2,0,0,.211,.245,.344,.589
Herrera,Dilson,NYM,2B,31,90,7,19,3,1,3,6,2,0,11,23,0,0,2,.211,.311,.367,.678
Boesch,Brennan,CIN,OF,51,89,4,13,2,0,1,5,1,0,4,30,0,0,1,.146,.191,.202,.393
Cunningham,Todd,ATL,OF,39,86,13,19,4,0,0,4,2,1,5,17,0,0,2,.221,.280,.267,.547
Sweeney,Darnell,PHI,OF,37,85,9,15,4,1,3,11,0,2,13,27,0,0,0,.176,.286,.353,.639
Uribe,Juan,LAD,3B,29,81,6,20,2,0,1,6,1,0,5,9,0,1,0,.247,.287,.309,.596
Recker,Anthony,NYM,C,32,80,6,10,1,0,2,5,1,0,11,35,0,0,1,.125,.239,.213,.452
Olivera,Hector,ATL,2B,24,79,4,20,4,1,2,11,0,0,5,12,0,1,2,.253,.310,.405,.715
Young Jr.,Eric,ATL,OF,35,77,7,13,4,2,0,5,3,0,6,17,2,0,0,.169,.229,.273,.502
Baez,Javier,CHC,SS,28,76,4,22,6,0,1,4,1,2,4,24,0,0,0,.289,.325,.408,.733
Garcia,Greg,STL,SS,49,75,7,18,5,0,2,4,0,0,10,12,1,0,1,.240,.337,.387,.724
Jackson,Austin,CHC,OF,29,72,10,17,7,0,1,10,2,1,5,19,0,0,2,.236,.304,.375,.679
